case_id,exception_class_derived,abs_variance_pct,exposure_eur,outcome_label,B_prediction,B_confidence,tools_used,agent_reasoning,manual_classification,inspector_note
4507027519_00290,DUPLICATE_INVOICE_PATTERN,0.0,733.0,CLEARED_WITHOUT_BLOCK,INVOICE_CANCELLED,0.62,get_invoice|lookup_po|lookup_policy|check_duplicate_payment,"MOCK MODE — deterministic stand-in, not a model output.",,
4508055028_00030,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,1411.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4507038266_00050,NO_EXCEPTION,0.0,8.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508073116_00270,NO_EXCEPTION,0.0,396.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4507028870_00090,DUPLICATE_INVOICE_PATTERN,0.0,11655.0,CLEARED_WITHOUT_BLOCK,INVOICE_CANCELLED,0.62,get_invoice|lookup_po|lookup_policy|check_duplicate_payment,"MOCK MODE — deterministic stand-in, not a model output.",,
4508064437_00040,NO_EXCEPTION,0.0,392.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4507001137_00170,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,114.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508073111_00001,NO_EXCEPTION,0.0,170.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4507011621_00001,PRICE_VARIANCE_OVER_TOLERANCE,100.0,1700.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.69,get_invoice|lookup_po|lookup_policy|lookup_vendor_history,"MOCK MODE — deterministic stand-in, not a model output.",,
4507037030_00010,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,1758.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4507001614_00120,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,209.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508071028_00020,NO_EXCEPTION,0.0,403.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508065940_00030,NO_EXCEPTION,0.0,1597.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4507008647_00050,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,2883.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508075602_00020,NO_EXCEPTION,0.0,628.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508074044_00010,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,468.0,UNRESOLVED_IN_LOG,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4507009128_00150,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,294.0,CLEARED_WITHOUT_BLOCK,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508074005_00030,SEQUENCE_VIOLATION_INVOICE_BEFORE_GR,0.0,242.0,UNRESOLVED_IN_LOG,RESOLVED_WITHOUT_OBSERVED_PO_CORRECTION,0.66,get_invoice|lookup_po|lookup_policy|lookup_goods_receipt,"MOCK MODE — deterministic stand-in, not a model output.",,
4508067287_00020,NO_EXCEPTION,0.0,1487.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
4508072815_00080,NO_EXCEPTION,0.0,361.0,UNRESOLVED_IN_LOG,CLEARED_WITHOUT_BLOCK,0.95,get_invoice|lookup_po|lookup_policy,"MOCK MODE — deterministic stand-in, not a model output.",,
